#node1 node2 weight
iranian thanking 16
taking thanking 16
guy wait 33
guy set 32
oil set 32
cant price 32
cant say 32
say surprise 32
got thing 144
scream thing 144
politician scream 144
politician want 144
refugee want 144
refugee stop 144
creating stop 144
puppet russian 32
president puppet 32
definitely president 32
definitely founder 40
founder mind 80
credible liar 56
painting square 56
barbaric square 56
barbaric policy 56
coming convention 72
center convention 72
center nj 72
day nj 72
day first 72
first grandson 72
due grandson 72
bankrupted guy 72
bankrupted casino 72
casino want 72
help want 80
city help 72
city hard 72
hard pas 72
always socialist 32
always expect 32
big expect 32
big brother 32
bail brother 32
name webb 32
proud webb 32
proud trump 72
supporter trump 72
supporter trying 32
spread trying 32
spread truth 32
across truth 32
bet paying 32
debt paying 32
america debt 32
america expense 32
ambushed pardon 160
ambushed amp 160
amp entrapped 160
bogus entrapped 160
bogus political 160
hit political 160
hit job 160
america make 88
america great 192
christmas good 32
problem trump 40
need problem 40
help need 113
call please 32
call free 32
impeached think 40
mean think 32
mean nothing 48
huge made 32
huge mess 32
mess middle 32
east middle 762
east first 32
first kurd 32
article hold 48
article give 48
give time 48
fire time 48
fire grow 48
grow mitchell 48
mitchell wanting 48
named people 40
named trump 40
hard time 32
telling time 32
telling truth 40
government truth 32
demand government 32
credibility experience 80
experience self 80
control self 96
adult control 80
adult room 88
attacking moment 32
attacking iran 48
iran let 50
let world 40
hear world 32
hear voice 32
pic voice 32
send son 48
daughter war 40
clear democrat 72
city democrat 80
city touch 72
touch turn 72
homeless turn 72
center homeless 72
read thread 32
thread war 32
drug war 72
morrison pea 32
pea pod 32
complete pod 32
complete fuckup 32
approving jared 32
approving murder 32
another murder 40
another journalist 40
believe sorry 32
believe lying 32
lying proved 32
proved untrustworthy 32
day untrustworthy 32
day one 49
office one 32
talk wanted 32
save talk 32
butt save 32
butt right 32
put request 32
kill request 32
journalist kill 32
journalist like 32
like press 32
coverage press 32
extreme poll 64
size speak 32
one size 32
one selling 32
fried selling 32
fried presidency 32
gamble presidency 32
love mr 56
fuck healthcare 128
fuck veteran 128
crumbling fuck 64
crumbling infrastructure 64
fuck infrastructure 64
fuck mommy 64
military mommy 64
city red 32
city hide 32
hide homeless 32
give good 32
dirt good 32
old sneaky 32
bastard old 32
table thing 32
man table 32
man still 32
money still 32
milk money 32
extortion new 32
stop time 32
giving stop 32
giving money 32
money people 49
people send 40
evil god 32
god save 48
country save 48
good smart 32
focused smart 32
focused one 32
god one 32
even god 40
even saudi 40
official saudi 32
made thinking 32
made reservation 32
one reservation 32
one trump 49
may property 32
may want 32
full idiot 32
full stop 32
article section 32
11 clause 32
11 constitution 32
clearly constitution 32
clearly give 48
congress give 32
congress power 40
declare power 32
declare war 120
point support 32
support support 32
criminal support 32
price took 32
bull took 32
bull market 32
market maybe 32
maybe someone 48
reckless someone 32
reckless step 32
democrat run 56
city run 40
city pay 32
pay united 32
bill state 32
bill every 32
every year 33
serious year 32
question serious 32
legal notice 48
absolutely notice 40
absolutely familiarize 40
constitution familiarize 40
constitution u 48
know pardon 32
know trumped 32
charge trumped 32
hopefully managed 32
discus managed 32
honestly know 32
interview know 32
interview still 32
still web 32
oil rush 32
international price 32
international level 32
body dismember 32
body easy 32
easy step 32
big boy 960
boy president 320
big president 320
boy meeting 320
big meeting 320
boy overlord 320
bone overlord 320
trump wow 64
quite trump 72
literally quite 64
literally using 72
twitter using 64
twitter way 64
declare way 64
iran war 264
even iran 80
even notifying 64
congress notifying 88
starting war 104
american war 56
american even 32
even federal 32
employee federal 32
employee private 32
contractor private 32
contractor fool 32
lie lie 96
blood lie 32
blood hungry 32
hungry war 32
monger war 40
done really 32
done stole 32
election stole 32
american election 32
crap fake 24
keep spinning 24
spinning thing 24
spiral thing 24
control spiral 24
got instead 24
instead time 24
thing time 24
plantation thing 24
plantation seem 24
free seem 24
day took 48
made took 40
border made 40
senate wasting 24
time wasting 40
climate time 24
change climate 176
change right 24
back right 24
california one 24
one wealthiest 24
state wealthiest 24
pay u 48
highest pay 24
highest tax 24
like look 153
fool like 24
impeachment nixon 24
art impeachment 24
false making 24
false misleading 24
misleading public 24
public statement 24
purpose statement 24
clear local 128
local problem 128
city problem 128
city texas 128
never texas 128
homeless never 128
homeless needle 128
feces needle 128
feces street 128
city street 120
stability thanks 24
jerk thanks 24
need target 24
taliban target 24
pakistan taliban 24
pakistan problem 24
problem vanish 24
come vanish 24
discus saudi 24
saudi went 24
shooting went 24
rampage shooting 24
naval rampage 24
base naval 24
base rico 24
canada safe 24
look safe 24
beef look 24
meeting unreported 144
meeting white 136
go house 144
go play 160
golf play 160
go snort 24
making snort 24
making sense 24
coward like 24
coward every 24
appear time 24
appear short 24
amp short 24
amp face 24
american face 24
house safe 24
safe waite 24
made trump 40
decision made 96
challenge decision 24
challenge iran 24
infested iran 24
infested terrorist 24
anti crap 24
crap va 24
need va 24
need stop 32
know stop 24
behind know 24
behind mu 24
discus fact 40
fact ordered 24
murder ordered 24
good one 41
one president 24
president whole 24
whole world 80
well world 32
getting much 24
getting paid 32
paid say 24
another yr 32
rule yr 24
rule u 40
hesitation u 24
first hit 24
amazing democrat 24
democrat mourning 24
mourning strike 24
strike u 32
must u 24
must strike 24
back strike 25
back show 24
amp watch 64
amp listen 136
amp hussein 64
allocating hussein 64
allocating stimulus 64
district stimulus 64
district l 64
idiot think 24
mean perpetrator 24
assassination urgency 64
mind wrote 24
impeachment wrote 24
impeachment part 24
constitution part 24
look mean 24
look way 24
bullshit way 24
bullshit let 24
honest let 24
cant sick 24
cant wait 105
gone wait 24
criminal hiding 24
criminal fraud 24
also discus 72
discus war 56
iran took 64
long took 64
acknowledge long 56
acknowledge meeting 56
assassination swap 24
assassination story 24
initiate possible 24
increase initiate 24
increase u 24
troop u 603
syria troop 24
